BoxId,BoxSerial,BoxDesignation,MachineId,MachineNumber,MachineDesignation,MachineDesignation2,MachineTypId,MachineTypDesignation,MachineFamilyId,MachineFamilydesignation,ManufacturerId,ManufacturerNumber,ManufacturerName1,ManufacturerName2,ManufacturerStreet,ManufacturerPostalCode,ManufacturerCity,Date,IndustrialHours,Hours,CustomerId,CustomerNumber,CustomerName1,CustomerName2,CustomerStreet,CustomerPostalCode,CustomerCity,SiteId,SiteNumber,SiteName1,SiteName2,SiteStreet,SitePostalcode,SiteCity,Latitude,Longitude,GeoFenceRadius,ClientId,ClientName1,ClientName2,ClientStreet,ClientPostalcode,ClientCity,FakeCountry
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,10/4/17,0.42,0.25,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,11/4/17,0.5,0.3,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,12/4/17,0.55,0.33,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/13/2017,0.67,0.4,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/14/2017,0.55,0.33,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/15/2017,1.12,1.07,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/18/2017,0.55,0.33,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/19/2017,0.6,0.36,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/20/2017,0.5,0.3,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/21/2017,0.42,0.25,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/22/2017,1.1,1.06,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/24/2017,0.6,0.36,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/25/2017,0.52,0.31,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/26/2017,0.47,0.28,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/28/2017,0.57,0.34,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/29/2017,1.07,1.04,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,2/5/17,0.37,0.22,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
