SiteId,SiteCity,Latitude,Longitude,
57609,EDE GLD,52.0337974,5.621228732,
57609,EDE GLD,52.0337974,5.621228732,
57609,EDE GLD,52.0337974,5.621228732,
57609,EDE GLD,52.0337974,5.621228732,
57609,EDE GLD,52.0337974,5.621228732,
57609,EDE GLD,52.0337974,5.621228732,
57609,EDE GLD,52.0337974,5.621228732,
57609,EDE GLD,52.0337974,5.621228732,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
51688,Järfälla,59.41380942,17.85552935,
